"taxon","16S rRNA accession #","Family","Genus","Species","Strain","Genome size","%G+C","Other genetic characteristics","Cell shape","Pigments","Cell wall","Motility","Biofilm formation","Habitat isolated from","Oxygen use","Salinity preference","pH minimum","pH optimum","pH maximum","Temperature minimum","Temperature optimum","Temperature maximum","NaCl minimum","NaCl optimum","NaCl maximum","Host","Symbiotic","Pathogenic","Disease caused","Metabolism (energy & carbon source)","Mono & di-saccharides","Polysaccharides","Amino acids","Alcohols","Fatty acids","Other energy or carbon sources","Fermentation products","Polyalkanoates (plastics)","Other metabolic product","Antibiotic sensitivity","Antibiotic resistant","Cell Size"
"Cylindrospermum.stagnale.PCC7417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiroplasma_litorale","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanobacterium_uliginosum","","","","","","","29.4,33.8","","rods,,rods,spherical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanosarcina_acetivorans","","","","","","","","","cocci","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halococcus_hamelinensis","","","","","","","","","clusters,pairs,singly,cocci,irregular,tetrads","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chroococcidiopsis.thermalis.PCC7203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gloeocapsopsis_aurea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salarchaeum_japonicum","","","","","","","64","","short,rods,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubrum_xinjiangense","","","","","","","","","short,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pyrobaculum_calidifontis","","","","","","","51","","rod-shaped,long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halococcus_qingdaonensis","","","","","","","61.2","","doublets,cocci,tetrads","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubrum_lacusprofundi","","","","","","","65.3-65","","pleomorphic,rod-shaped,long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pyrococcus_horikoshii","","","","","","","44","","cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanohalophilus_portucalensis","","","","","","","43","","coccoid,singly,,pairs,,aggregates,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pyrococcus_furiosus","","","","","","","","","irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanocaldococcus_sp._FS406-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sulfolobus_tengchongensis","","","","","","","34.4","","cocci,irregular,curved,long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spirulina_subsalsa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermosynechococcus.elongatus.BP-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermococcus_hydrothermalis","","","","","","","","","cocci","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prochlorococcus_marinus_MED4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halomicrobium_mukohataei","","","","","","","65","","flat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anaeroplasma_varium","","","","","","","33.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermococcus_thioreducens","","","","","","","52.9","","cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubrum_orientale","","","","","","","64.2","","pleomorphic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chlorogloeopsis_fritschii_PCC_6912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halogeometricum_borinquense","","","","","","","59-1","","short,pleomorphic,long,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acholeplasma_entomophilum","","","","","","","30","","coccoid,pleomorphic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermoproteus_uzoniensis","","","","","","","56.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Desulfurococcus_fermentans","","","","","","","42.5","","cocci","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haladaptatus_paucihalophilus","","","","","","","60.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanococcoides_burtonii","","","","","","","39.6","","cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mycoplasma_phocidae","","","","","","","27.8","","coccoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorhabdus_tiamatea","","","","","","","61.7","","coccoid,pleomorphic,irregular,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanogenium_thermophilicum","","","","","","","59","","pairs,singly,cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haloterrigena_turkmenica","","","","","","","59.8","","coccoid,rods,oval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Microcystis.aeruginosa.PCC7941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haloferax_larsenii","","","","","","","62.2","","pleomorphic,elongated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubellus_litoreus","","","","","","","67.2","","pleomorphic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiroplasma_alleghenense","","","","","","","31","","filaments,helical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanohalophilus_halophilus","","","","","","","48,43","","polygonal,pairs,singly,cocci,aggregates,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palaeococcus_helgesonii","","","","","","","42.5","","pairs,regular,singly,cocci,,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanoculleus_submarinus","","","","","","","","","pairs,singly,cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanobrevibacter_olleyae","","","","","","","","","pairs,coccobacilli,singly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermococcus_atlanticus","","","","","","","","","cocci,spherical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haloferax_sulfurifontis","","","","","","","60.5","","clusters,pairs,pleomorphic,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haloterrigena_daqingensis","","","","","","","59.3","","coccoid,clusters,pairs,singly,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesoplasma_seiffertii","","","","","","","1","","coccoid,shape","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Natronorubrurn_tibetense","","","","","","","60.1","","pleomorphic,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mycoplasma_mycoides_subsp._mycoides","","","","","","","24.0,26.1","","pleomorphic,non-helical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entomoplasma_somnilux","","","","","","","1","","short,pleomorphic,coccoidal,unbranched,branched,subcoccoidal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Metallosphaera_yellowstonensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubrum_tebenquichense","","","","","","","63.2","","disc-shaped","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stetteria_hydrogenophila","","","","","","","65","","cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halococcus_salifodinae","","","","","","","62.1","","cocci","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aciduliprofundum_boonei","","","","","","","","","pleiomorphic,spherical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haloplanus_natans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanofollis_formosanus","","","","","","","58.4","","coccoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiroplasma_atrichopogonis","","","","","","","28.8","","helical,filamentous,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanocella_conradii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acholeplasma_vituli","","","","","","","38.3","","coccoid,shape","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanothermobacter_crinale","","","","","","","41.1","","pairs,singly,curved,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorhabdus_utahensis","","","","","","","","","pleomorphic,rod-shaped,long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mycoplasma_iowae","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ureaplasma_gallorale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halococcus_thailandensis","","","","","","","60.2–61.8","","pairs,singly,cocci,packets,tetrads,sarcina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ferroplasma_acidiphilum","","","","","","","36.5","","filamentous,cocci,irregular,spherical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyanothece.sp.PCC8802","","","","","","","","","cylindrical,oval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanobrevibacter_arboriphilicus","","","","","","","","","short,long,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyanothece_sp._ATCC_51142","","","","","","","","","cylindrical,unicellular,oval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanosaeta_concilii","","","","","","","49.0","","filaments,chains,flat,long,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanogenium_frigidum","","","","","","","","","singly,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anabaena.cylindrica.PCC7122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
